year,agency,Rank,minus_2,minus_1,current,plus_1,slope
2022,AF,O10,-4,-1,12,-1,0
2022,AF,O9,4,5,55,-16,0
2022,AF,O8,-12,-15,81,-13,0
2022,AF,O7,-9,-8,126,-3,0
2022,AF,O6,131,66,3423,-246,0
2022,AF,O5,97,-29,9917,-819,0
2022,AF,O4,376,188,14685,-1260,0
2022,AF,O3,1089,446,21847,-743,0
2022,AF,O2,-410,-661,8005,-1094,0
2022,AF,O1,-566,77,6790,-2,0
2022,AF,W5,0,0,0,0,1
2022,AF,W4,0,0,0,0,1
2022,AF,W3,0,0,0,0,1
2022,AF,W2,0,0,0,0,1
2022,AF,W1,0,0,0,0,1
2022,AF,E9,-19,-39,2613,-75,0
2022,AF,E8,-489,-168,4788,-46,0
2022,AF,E7,-621,-456,25915,-1886,0
2022,AF,E6,2395,671,44857,-3627,0
2022,AF,E5,-1095,-1189,60411,-4286,0
2022,AF,E4,4393,791,61854,2956,1
2022,AF,E3,-7323,-2283,46138,-1648,0
2022,AF,E2,136,-111,8032,-318,0
2022,AF,E1,734,606,8872,-646,0
