year,agency,Rank,minus_2,minus_1,current,plus_1,slope
2020,NV,O10,0,0,12,0,1
2020,NV,O9,-4,-1,55,4,1
2020,NV,O8,7,3,95,-2,0
2020,NV,O7,-4,6,144,2,1
2020,NV,O6,184,177,3952,-15,0
2020,NV,O5,151,117,8720,-5,0
2020,NV,O4,225,275,14700,26,1
2020,NV,O3,-148,-57,24700,179,1
2020,NV,O2,736,244,10732,452,1
2020,NV,O1,-282,-346,9939,-167,0
2020,NV,W5,4,5,198,-5,0
2020,NV,W4,17,4,708,68,1
2020,NV,W3,59,24,1335,-8,0
2020,NV,W2,114,69,1551,63,1
2020,NV,W1,-19,12,268,19,1
2020,NV,E9,76,-42,4297,105,1
2020,NV,E8,502,168,11042,249,1
2020,NV,E7,1019,384,30948,632,1
2020,NV,E6,2505,582,65887,-623,0
2020,NV,E5,1601,-1080,95499,-153,0
2020,NV,E4,7720,6321,95311,-8351,0
2020,NV,E3,-138,376,85161,7715,1
2020,NV,E2,-2323,-3455,33954,2626,1
2020,NV,E1,142,631,23746,-2889,0
