year,agency,Rank,minus_2,minus_1,current,plus_1,slope
2012,AF,O10,2,1,14,-2,0
2012,AF,O9,3,-2,44,1,1
2012,AF,O8,-5,-1,99,2,1
2012,AF,O7,-11,-11,147,0,1
2012,AF,O6,-110,25,3580,21,1
2012,AF,O5,-251,123,10039,-23,0
2012,AF,O4,153,27,14548,-506,0
2012,AF,O3,-1432,-1057,22165,578,1
2012,AF,O2,362,252,7471,-278,0
2012,AF,O1,100,177,6905,-7,0
2012,AF,W5,0,0,0,0,1
2012,AF,W4,0,0,0,0,1
2012,AF,W3,0,0,0,0,1
2012,AF,W2,0,0,0,0,1
2012,AF,W1,0,0,0,0,1
2012,AF,E9,23,16,2632,-47,0
2012,AF,E8,-161,-101,5047,89,1
2012,AF,E7,-9,693,26436,305,1
2012,AF,E6,-81,164,41767,-536,0
2012,AF,E5,-2446,-2427,67726,-58,0
2012,AF,E4,6214,4119,55509,277,1
2012,AF,E3,-1632,-1075,50830,446,1
2012,AF,E2,-1959,-526,4266,-779,0
2012,AF,E1,415,-407,9586,-1721,0
