year,agency,Rank,minus_2,minus_1,current,plus_1,slope
2019,AF,O10,-1,-1,12,4,1
2019,AF,O9,1,-2,42,9,1
2019,AF,O8,-2,-1,89,4,1
2019,AF,O7,-9,-5,144,-9,0
2019,AF,O6,23,95,3336,-44,0
2019,AF,O5,26,13,9777,43,1
2019,AF,O4,748,447,14040,269,1
2019,AF,O3,-302,-185,20666,92,1
2019,AF,O2,1070,726,7721,694,1
2019,AF,O1,751,175,8075,-719,0
2019,AF,W5,0,0,0,0,1
2019,AF,W4,0,0,0,0,1
2019,AF,W3,0,0,0,0,1
2019,AF,W2,0,0,0,0,1
2019,AF,W1,0,0,0,0,1
2019,AF,E9,27,-27,2613,19,1
2019,AF,E8,368,304,5379,-102,0
2019,AF,E7,1715,1103,26491,45,1
2019,AF,E6,121,0,39695,2767,1
2019,AF,E5,-378,-128,61544,-38,0
2019,AF,E4,1447,3005,54550,2911,1
2019,AF,E3,3891,-101,55166,-1705,0
2019,AF,E2,-573,376,7568,328,1
2019,AF,E1,375,466,10970,-2832,0
