year,agency,Rank,minus_2,minus_1,current,plus_1,slope
2019,NV,O10,-1,0,12,0,1
2019,NV,O9,-3,-3,56,-1,0
2019,NV,O8,2,4,92,3,1
2019,NV,O7,4,-10,138,6,1
2019,NV,O6,-27,7,3775,177,1
2019,NV,O5,82,34,8603,117,1
2019,NV,O4,-63,-50,14425,275,1
2019,NV,O3,168,-91,24757,-57,0
2019,NV,O2,507,492,10488,244,1
2019,NV,O1,137,64,10285,-346,0
2019,NV,W5,7,-1,193,5,1
2019,NV,W4,33,13,704,4,1
2019,NV,W3,62,35,1311,24,1
2019,NV,W2,65,45,1482,69,1
2019,NV,W1,25,-31,256,12,1
2019,NV,E9,184,118,4339,-42,0
2019,NV,E8,495,334,10874,168,1
2019,NV,E7,1013,635,30564,384,1
2019,NV,E6,4236,1923,65305,582,1
2019,NV,E5,5804,2681,96579,-1080,0
2019,NV,E4,1589,1399,88990,6321,1
2019,NV,E3,-3422,-514,84785,376,1
2019,NV,E2,3110,1132,37409,-3455,0
2019,NV,E1,637,-489,23115,631,1
