year,agency,Rank,minus_2,minus_1,current,plus_1,slope
2010,NV,O10,1,0,15,2,1
2010,NV,O9,7,2,62,-4,0
2010,NV,O8,11,11,104,4,1
2010,NV,O7,6,2,162,-8,0
2010,NV,O6,229,105,4176,63,1
2010,NV,O5,317,107,8925,135,1
2010,NV,O4,245,41,14090,546,1
2010,NV,O3,203,500,22912,474,1
2010,NV,O2,1165,512,10039,332,1
2010,NV,O1,221,41,9951,-605,0
2010,NV,W5,-12,-12,151,9,1
2010,NV,W4,153,71,765,-26,0
2010,NV,W3,-126,-16,1121,22,1
2010,NV,W2,36,-13,1360,38,1
2010,NV,W1,25,-18,237,21,1
2010,NV,E9,-195,-148,4128,-67,0
2010,NV,E8,-405,-197,9967,-10,0
2010,NV,E7,-903,-1236,30093,-280,0
2010,NV,E6,-724,-98,62841,-577,0
2010,NV,E5,-1174,-1917,93693,-3273,0
2010,NV,E4,-3927,-6060,87168,4415,1
2010,NV,E3,21849,16228,105717,-5711,0
2010,NV,E2,-5760,-6774,36313,-221,0
2010,NV,E1,-10587,-2687,21758,135,1
