year,agency,Rank,minus_2,minus_1,current,plus_1,slope
2021,NV,O10,0,0,12,1,1
2021,NV,O9,3,4,59,-8,0
2021,NV,O8,1,-2,93,4,1
2021,NV,O7,8,2,146,-6,0
2021,NV,O6,162,-15,3937,-17,0
2021,NV,O5,112,-5,8715,-5,0
2021,NV,O4,301,26,14726,122,1
2021,NV,O3,122,179,24879,-158,0
2021,NV,O2,696,452,11184,1,1
2021,NV,O1,-513,-167,9772,355,1
2021,NV,W5,0,-5,193,2,1
2021,NV,W4,72,68,776,4,1
2021,NV,W3,16,-8,1327,72,1
2021,NV,W2,132,63,1614,16,1
2021,NV,W1,31,19,287,-63,0
2021,NV,E9,63,105,4402,-39,0
2021,NV,E8,417,249,11291,-96,0
2021,NV,E7,1016,632,31580,-329,0
2021,NV,E6,-41,-623,65264,-731,0
2021,NV,E5,-1233,-153,95346,-2580,0
2021,NV,E4,-2030,-8351,86960,-412,0
2021,NV,E3,8091,7715,92876,-395,0
2021,NV,E2,-829,2626,36580,-6061,0
2021,NV,E1,-2258,-2889,20857,2089,1
