Year,service,Rank,minus_2,minus_1,current,plus_1
2022,AR,O10,-1,0,16,-1
2022,AR,O9,-1,-2,46,-2
2022,AR,O8,15,3,108,-13
2022,AR,O7,-20,-11,118,-5
2022,AR,O6,-235,-136,3767,-113
2022,AR,O5,-127,-237,8902,-207
2022,AR,O4,74,-48,16131,-164
2022,AR,O3,68,-15,27212,-457
2022,AR,O2,-55,-77,12209,93
2022,AR,O1,261,374,10111,-628
2022,AR,W5,20,28,571,-14
2022,AR,W4,-101,-124,1848,-94
2022,AR,W3,-301,-136,3339,-177
2022,AR,W2,413,91,5940,-31
2022,AR,W1,669,508,3343,722
2022,AR,E9,16,117,3501,-22
2022,AR,E8,-258,25,10694,-428
2022,AR,E7,241,2069,36702,-359
2022,AR,E6,-1271,-1547,57742,377
2022,AR,E5,1831,-719,69861,-1535
2022,AR,E4,1182,-6252,113412,-9564
2022,AR,E3,-5803,-6593,48339,-4271
2022,AR,E2,-8275,-5409,16340,3947
2022,AR,E1,-7989,-2670,10994,741
