year,agency,Rank,minus_2,minus_1,current,plus_1,slope
2019,AR,O10,2,-2,13,4,1
2019,AR,O9,-3,0,44,3,1
2019,AR,O8,-6,-4,114,-21,0
2019,AR,O7,-4,-14,127,11,1
2019,AR,O6,-138,-21,3969,33,1
2019,AR,O5,16,-21,8772,257,1
2019,AR,O4,593,366,15443,614,1
2019,AR,O3,-884,-24,28397,-1253,0
2019,AR,O2,9,-240,11019,1245,1
2019,AR,O1,1095,349,10230,-380,0
2019,AR,W5,28,-8,581,-30,0
2019,AR,W4,-142,-127,1943,6,1
2019,AR,W3,-236,-107,3842,-202,0
2019,AR,W2,-172,-14,5286,241,1
2019,AR,W1,456,278,2630,44,1
2019,AR,E9,190,12,3520,-35,0
2019,AR,E8,477,644,11224,-272,0
2019,AR,E7,1481,-207,35562,899,1
2019,AR,E6,1687,1537,55725,3288,1
2019,AR,E5,2489,2526,68070,-40,0
2019,AR,E4,-1052,3712,110178,2052,1
2019,AR,E3,2614,-860,49628,4514,1
2019,AR,E2,-2447,-765,26726,-2111,0
2019,AR,E1,1694,797,26368,-7385,0
