year,agency,Rank,minus_2,minus_1,current,plus_1,slope
2018,NV,O10,-2,-1,12,0,1
2018,NV,O9,6,0,59,-3,0
2018,NV,O8,-3,-2,88,4,1
2018,NV,O7,12,14,148,-10,0
2018,NV,O6,-26,-34,3768,7,1
2018,NV,O5,72,48,8569,34,1
2018,NV,O4,-3,-13,14475,-50,0
2018,NV,O3,276,259,24848,-91,0
2018,NV,O2,-66,15,9996,492,1
2018,NV,O1,566,73,10221,64,1
2018,NV,W5,16,8,194,-1,0
2018,NV,W4,17,20,691,13,1
2018,NV,W3,99,27,1276,35,1
2018,NV,W2,-59,20,1437,45,1
2018,NV,W1,106,56,287,-31,0
2018,NV,E9,136,66,4221,118,1
2018,NV,E8,348,161,10540,334,1
2018,NV,E7,197,378,29929,635,1
2018,NV,E6,2840,2313,63382,1923,1
2018,NV,E5,3858,3123,93898,2681,1
2018,NV,E4,-604,190,87591,1399,1
2018,NV,E3,-7322,-2908,85299,-514,0
2018,NV,E2,2001,1978,36277,1132,1
2018,NV,E1,4743,1126,23604,-489,0
