year,agency,Rank,minus_2,minus_1,current,plus_1,slope
2021,AR,O10,3,-1,16,0,1
2021,AR,O9,4,1,48,-2,0
2021,AR,O8,-9,12,105,3,1
2021,AR,O7,2,-9,129,-11,0
2021,AR,O6,-66,-99,3903,-136,0
2021,AR,O5,367,110,9139,-237,0
2021,AR,O4,736,122,16179,-48,0
2021,AR,O3,-1170,83,27227,-15,0
2021,AR,O2,1267,22,12286,-77,0
2021,AR,O1,-493,-113,9737,374,1
2021,AR,W5,-38,-8,543,28,1
2021,AR,W4,29,23,1972,-124,0
2021,AR,W3,-367,-165,3475,-136,0
2021,AR,W2,563,322,5849,91,1
2021,AR,W1,205,161,2835,508,1
2021,AR,E9,-136,-101,3384,117,1
2021,AR,E8,-555,-283,10669,25,1
2021,AR,E7,-929,-1828,34633,2069,1
2021,AR,E6,3564,276,59289,-1547,0
2021,AR,E5,2510,2550,70580,-719,0
2021,AR,E4,9486,7434,119664,-6252,0
2021,AR,E3,5304,790,54932,-6593,0
2021,AR,E2,-4977,-2866,21749,-5409,0
2021,AR,E1,-12704,-5319,13664,-2670,0
