year,agency,Rank,minus_2,minus_1,current,plus_1,slope
2018,AR,O10,3,4,15,-2,0
2018,AR,O9,0,-3,44,0,1
2018,AR,O8,-7,-2,118,-4,0
2018,AR,O7,10,10,141,-14,0
2018,AR,O6,-149,-117,3990,-21,0
2018,AR,O5,-204,37,8793,-21,0
2018,AR,O4,-501,227,15077,366,1
2018,AR,O3,-388,-860,28421,-24,0
2018,AR,O2,-81,249,11259,-240,0
2018,AR,O1,1495,746,9881,349,1
2018,AR,W5,-2,36,589,-8,0
2018,AR,W4,113,-15,2070,-127,0
2018,AR,W3,-222,-129,3949,-107,0
2018,AR,W2,-597,-158,5300,-14,0
2018,AR,W1,400,178,2352,278,1
2018,AR,E9,129,178,3508,12,1
2018,AR,E8,-198,-167,10580,644,1
2018,AR,E7,557,1688,35769,-207,0
2018,AR,E6,-1,150,54188,1537,1
2018,AR,E5,683,-37,65544,2526,1
2018,AR,E4,-8043,-4764,106466,3712,1
2018,AR,E3,3199,3474,50488,-860,0
2018,AR,E2,792,-1682,27491,-765,0
2018,AR,E1,3709,897,25571,797,1
