Year,Rank/Grade,Army,Navy,Marine Corps,Air Force
2022,GENERAL       -ADMIRAL,16,10,3,12
2022,LT GENERAL    -VICE ADMIRAL,46,34,17,55
2022,MAJ GENERAL   -REAR ADMIRAL(U),108,68,29,81
2022,BRIG GENERAL  -REAR ADMIRAL(L),118,104,36,126
2022,COLONEL       -CAPTAIN,3767,3265,655,3423
2022,LIEUTENANT COL-COMMANDER,8902,6760,1950,9917
2022,MAJOR         -LT COMMANDER,16131,10837,4011,14685
2022,CAPTAIN       -LIEUTENANT,27212,18895,5826,21847
2022,Ist LIEUTENANT-LIEUTENANT(JG),12209,7324,3861,8005
2022,2nd LIEUTENANT-ENSIGN,10111,7241,2886,6790
2022,CHIEF WARRANT OFFICER W-5,571,85,110,0
2022,CHIEF WARRANT OFFICER W-4,1848,479,301,0
2022,CHIEF WARRANT OFFICER W-3,3339,747,652,0
2022,CHIEF WARRANT OFFICER W-2,5940,680,950,0
2022,WARRANT OFFICER W-1,3343,20,204,0
2022,E-9,3501,2765,1598,2613
2022,E-8,10694,7249,3946,4788
2022,E-7,36702,22890,8361,25915
2022,E-6,57742,51172,13361,44857
2022,E-5,69861,70452,22314,60411
2022,E-4,113412,53894,32654,61854
2022,E-3,48339,50210,42271,46138
2022,E-2,16340,13085,17434,8032
2022,E-1,10994,11799,11147,8872
