Year,Rank/Grade,Army,Navy,Marine Corps,Air Force
2014,GENERAL       -ADMIRAL,13,10,4,11
2014,LT GENERAL    -VICE ADMIRAL,48,36,17,44
2014,MAJ GENERAL   -REAR ADMIRAL(U),113,66,29,96
2014,BRIG GENERAL  -REAR ADMIRAL(L),137,116,33,138
2014,COLONEL       -CAPTAIN,4258,3323,692,3318
2014,LIEUTENANT COL-COMMANDER,9688,6858,1924,9462
2014,MAJOR         -LT COMMANDER,17322,10849,3869,13584
2014,CAPTAIN       -LIEUTENANT,29202,18275,6756,21974
2014,Ist LIEUTENANT-LIEUTENANT(JG),12722,6339,3609,7193
2014,2nd LIEUTENANT-ENSIGN,8324,6906,1880,6529
2014,CHIEF WARRANT OFFICER W-5,656,76,104,0
2014,CHIEF WARRANT OFFICER W-4,2233,415,289,0
2014,CHIEF WARRANT OFFICER W-3,4029,624,616,0
2014,CHIEF WARRANT OFFICER W-2,6568,547,837,0
2014,WARRANT OFFICER W-1,1984,0,255,0
2014,E-9,3594,2572,1564,2508
2014,E-8,11964,6299,3897,5136
2014,E-7,39334,21062,8281,25399
2014,E-6,60475,46057,14597,38582
2014,E-5,74392,62256,27139,63582
2014,E-4,118406,54144,38749,57402
2014,E-3,53096,46796,44275,46315
2014,E-2,26786,16451,18668,3973
2014,E-1,18472,11522,9807,7207
