Year,Rank/Grade,Army,Navy,Marine Corps,Air Force
2020,GENERAL       -ADMIRAL,17,9,3,16
2020,LT GENERAL    -VICE ADMIRAL,47,38,17,51
2020,MAJ GENERAL   -REAR ADMIRAL(U),93,64,31,93
2020,BRIG GENERAL  -REAR ADMIRAL(L),138,106,38,135
2020,COLONEL       -CAPTAIN,4002,3293,659,3292
2020,LIEUTENANT COL-COMMANDER,9029,6771,1949,9820
2020,MAJOR         -LT COMMANDER,16057,10691,4009,14309
2020,CAPTAIN       -LIEUTENANT,27144,18783,5917,20758
2020,Ist LIEUTENANT-LIEUTENANT(JG),12264,6865,3867,8415
2020,2nd LIEUTENANT-ENSIGN,9850,7150,2789,7356
2020,CHIEF WARRANT OFFICER W-5,551,87,111,0
2020,CHIEF WARRANT OFFICER W-4,1949,405,303,0
2020,CHIEF WARRANT OFFICER W-3,3640,758,577,0
2020,CHIEF WARRANT OFFICER W-2,5527,631,920,0
2020,WARRANT OFFICER W-1,2674,8,260,0
2020,E-9,3485,2720,1577,2632
2020,E-8,10952,7090,3952,5277
2020,E-7,36461,22732,8216,26536
2020,E-6,59013,51041,14846,42462
2020,E-5,68030,71686,23813,61506
2020,E-4,112230,59121,36190,57461
2020,E-3,54142,41104,44057,53461
2020,E-2,24615,16147,17807,7896
2020,E-1,18983,14696,9050,8138
