Year,Rank/Grade,Army,Navy,Marine Corps,Air Force
2016,GENERAL       -ADMIRAL,12,10,4,13
2016,LT GENERAL    -VICE ADMIRAL,44,37,16,40
2016,MAJ GENERAL   -REAR ADMIRAL(U),125,62,29,91
2016,BRIG GENERAL  -REAR ADMIRAL(L),131,99,37,153
2016,COLONEL       -CAPTAIN,4139,3153,641,3320
2016,LIEUTENANT COL-COMMANDER,8997,6603,1894,9585
2016,MAJOR         -LT COMMANDER,15578,10622,3856,12902
2016,CAPTAIN       -LIEUTENANT,28809,18621,5951,21252
2016,Ist LIEUTENANT-LIEUTENANT(JG),11340,6575,3487,6901
2016,2nd LIEUTENANT-ENSIGN,8386,6937,2718,6704
2016,CHIEF WARRANT OFFICER W-5,591,75,103,0
2016,CHIEF WARRANT OFFICER W-4,1957,386,288,0
2016,CHIEF WARRANT OFFICER W-3,4171,585,592,0
2016,CHIEF WARRANT OFFICER W-2,5897,620,876,0
2016,WARRANT OFFICER W-1,1952,0,181,0
2016,E-9,3379,2571,1514,2515
2016,E-8,10778,6441,3751,4995
2016,E-7,35212,21410,8322,24484
2016,E-6,54189,47059,13483,39677
2016,E-5,64861,63838,26202,59395
2016,E-4,114509,52855,35340,59550
2016,E-3,47289,49548,43073,43852
2016,E-2,26699,14130,20146,7021
2016,E-1,21862,7864,10997,11273
