Year,Rank,Army,Navy,Marine Corps,Air Force
2011,GENERAL       -ADMIRAL,12,13,4,13
2011,LT GENERAL    -VICE ADMIRAL,50,40,18,46
2011,MAJ GENERAL   -REAR ADMIRAL(U),108,74,34,100
2011,BRIG GENERAL  -REAR ADMIRAL(L),144,122,32,158
2011,COLONEL       -CAPTAIN,4434,3542,697,3555
2011,LIEUTENANT COL-COMMANDER,9941,7131,1929,9916
2011,MAJOR         -LT COMMANDER,17163,10712,3924,14521
2011,CAPTAIN       -LIEUTENANT,29994,16868,6518,23222
2011,Ist LIEUTENANT-LIEUTENANT(JG),9382,6531,3840,7219
2011,2nd LIEUTENANT-ENSIGN,10167,6558,2788,6728
2011,CHIEF WARRANT OFFICER W-5,620,56,104,0
2011,CHIEF WARRANT OFFICER W-4,2592,454,285,0
2011,CHIEF WARRANT OFFICER W-3,3551,596,547,0
2011,CHIEF WARRANT OFFICER W-2,6694,511,887,0
2011,WARRANT OFFICER W-1,2388,0,258,0
2011,E-9,3664,2448,1613,2616
2011,E-8,12230,5915,4042,5148
2011,E-7,40483,20586,9227,25743
2011,E-6,64432,45375,16889,41603
2011,E-5,83277,60394,30026,70153
2011,E-4,147112,54143,37440,51390
2011,E-3,71629,53121,46885,51905
2011,E-2,28831,15732,20360,4792
2011,E-1,11947,9214,12679,9993
