Year,Rank,Army,Navy,Marine Corps,Air Force
2009,GENERAL       -ADMIRAL,11,11,4,14
2009,LT GENERAL    -VICE ADMIRAL,52,44,16,39
2009,MAJ GENERAL   -REAR ADMIRAL(U),98,70,23,106
2009,BRIG GENERAL  -REAR ADMIRAL(L),168,118,42,156
2009,COLONEL       -CAPTAIN,4359,3388,683,3676
2009,LIEUTENANT COL-COMMANDER,9662,6953,1865,10082
2009,MAJOR         -LT COMMANDER,15837,10285,3764,14045
2009,CAPTAIN       -LIEUTENANT,27027,16523,5889,23364
2009,Ist LIEUTENANT-LIEUTENANT(JG),8205,6342,3185,7208
2009,2nd LIEUTENANT-ENSIGN,10200,6648,3262,6806
2009,CHIEF WARRANT OFFICER W-5,551,67,96,0
2009,CHIEF WARRANT OFFICER W-4,2439,421,273,0
2009,CHIEF WARRANT OFFICER W-3,3539,602,535,0
2009,CHIEF WARRANT OFFICER W-2,5687,556,817,0
2009,WARRANT OFFICER W-1,2960,0,255,0
2009,E-9,3541,2653,1623,2642
2009,E-8,12231,6301,3863,5178
2009,E-7,41048,22439,8890,26159
2009,E-6,65718,47186,15753,41505
2009,E-5,83653,66096,29514,68942
2009,E-4,135107,55856,37372,51886
2009,E-3,67293,39755,49734,48909
2009,E-2,34349,19777,23310,7379
2009,E-1,15280,12138,12307,10747
