Year,Rank/Grade,Army,Navy,Marine Corps,Air Force
2013,GENERAL       -ADMIRAL,12,9,4,12
2013,LT GENERAL    -VICE ADMIRAL,52,43,18,45
2013,MAJ GENERAL   -REAR ADMIRAL(U),113,69,29,101
2013,BRIG GENERAL  -REAR ADMIRAL(L),142,115,32,147
2013,COLONEL       -CAPTAIN,4367,3308,679,3601
2013,LIEUTENANT COL-COMMANDER,10233,6744,1895,10016
2013,MAJOR         -LT COMMANDER,17362,10937,3814,14042
2013,CAPTAIN       -LIEUTENANT,28081,17811,6997,22743
2013,Ist LIEUTENANT-LIEUTENANT(JG),13861,6552,3527,7193
2013,2nd LIEUTENANT-ENSIGN,8693,6669,2194,6898
2013,CHIEF WARRANT OFFICER W-5,659,77,94,0
2013,CHIEF WARRANT OFFICER W-4,2372,387,288,0
2013,CHIEF WARRANT OFFICER W-3,3896,638,594,0
2013,CHIEF WARRANT OFFICER W-2,6735,502,906,0
2013,WARRANT OFFICER W-1,2056,0,167,0
2013,E-9,3765,2533,1612,2585
2013,E-8,12266,6091,3966,5136
2013,E-7,40382,20496,8778,26741
2013,E-6,61840,45805,15031,41231
2013,E-5,78627,60636,27814,67668
2013,E-4,128372,58658,34587,55786
2013,E-3,57180,40041,47721,51276
2013,E-2,26193,17636,22727,3487
2013,E-1,20298,14081,12374,7865
