Year,Rank/Grade,Army,Navy,Marine Corps,Air Force
2015,GENERAL       -ADMIRAL,11,10,4,13
2015,LT GENERAL    -VICE ADMIRAL,48,35,17,41
2015,MAJ GENERAL   -REAR ADMIRAL(U),123,63,27,97
2015,BRIG GENERAL  -REAR ADMIRAL(L),134,108,33,145
2015,COLONEL       -CAPTAIN,4150,3200,671,3219
2015,LIEUTENANT COL-COMMANDER,9249,6731,1869,9372
2015,MAJOR         -LT COMMANDER,16500,10619,3774,12716
2015,CAPTAIN       -LIEUTENANT,29064,18586,6427,21448
2015,Ist LIEUTENANT-LIEUTENANT(JG),12161,6327,3567,7429
2015,2nd LIEUTENANT-ENSIGN,8132,6878,2190,6524
2015,CHIEF WARRANT OFFICER W-5,619,72,106,0
2015,CHIEF WARRANT OFFICER W-4,2105,397,280,0
2015,CHIEF WARRANT OFFICER W-3,4188,620,616,0
2015,CHIEF WARRANT OFFICER W-2,6255,560,879,0
2015,WARRANT OFFICER W-1,1871,0,188,0
2015,E-9,3441,2572,1539,2439
2015,E-8,11396,6354,3778,4915
2015,E-7,36808,21095,7859,23818
2015,E-6,57796,46959,13177,38854
2015,E-5,70068,62849,26745,59951
2015,E-4,119318,58406,37188,62459
2015,E-3,46215,45563,41744,41173
2015,E-2,27236,15048,19703,4757
2015,E-1,20049,10282,11036,7956
