Year,Rank,Army,Navy,Marine Corps,Air Force
2012,GENERAL       -ADMIRAL,11,11,4,14
2012,LT GENERAL    -VICE ADMIRAL,51,40,20,44
2012,MAJ GENERAL   -REAR ADMIRAL(U),120,69,33,99
2012,BRIG GENERAL  -REAR ADMIRAL(L),133,117,32,147
2012,COLONEL       -CAPTAIN,4373,3370,686,3580
2012,LIEUTENANT COL-COMMANDER,9985,6775,1917,10039
2012,MAJOR         -LT COMMANDER,17405,10679,3909,14548
2012,CAPTAIN       -LIEUTENANT,28331,17438,6863,22165
2012,Ist LIEUTENANT-LIEUTENANT(JG),13004,6582,3806,7471
2012,2nd LIEUTENANT-ENSIGN,9125,6523,2519,6905
2012,CHIEF WARRANT OFFICER W-5,647,69,101,0
2012,CHIEF WARRANT OFFICER W-4,2522,400,298,0
2012,CHIEF WARRANT OFFICER W-3,3872,630,580,0
2012,CHIEF WARRANT OFFICER W-2,6644,506,922,0
2012,WARRANT OFFICER W-1,2200,0,201,0
2012,E-9,3671,2418,1647,2632
2012,E-8,12292,5825,4001,5047
2012,E-7,40875,20202,9098,26436
2012,E-6,63569,43991,16353,41767
2012,E-5,83109,57864,28570,67726
2012,E-4,143090,59669,35022,55509
2012,E-3,62272,44601,48273,50830
2012,E-2,25176,14534,20584,4266
2012,E-1,13020,12021,13381,9586
