Year,Rank,Army,Navy,Marine Corps,Air Force
2010,GENERAL       -ADMIRAL,12,11,4,12
2010,LT GENERAL    -VICE ADMIRAL,49,44,18,41
2010,MAJ GENERAL   -REAR ADMIRAL(U),100,73,31,104
2010,BRIG GENERAL  -REAR ADMIRAL(L),157,124,38,158
2010,COLONEL       -CAPTAIN,4356,3481,695,3690
2010,LIEUTENANT COL-COMMANDER,9651,7026,1899,10290
2010,MAJOR         -LT COMMANDER,16732,10269,3821,14395
2010,CAPTAIN       -LIEUTENANT,28750,16730,6182,23597
2010,Ist LIEUTENANT-LIEUTENANT(JG),8275,6417,3622,7109
2010,2nd LIEUTENANT-ENSIGN,10506,6884,3067,6805
2010,CHIEF WARRANT OFFICER W-5,599,50,101,0
2010,CHIEF WARRANT OFFICER W-4,2485,477,288,0
2010,CHIEF WARRANT OFFICER W-3,3683,577,544,0
2010,CHIEF WARRANT OFFICER W-2,6130,516,844,0
2010,WARRANT OFFICER W-1,2643,0,237,0
2010,E-9,3512,2508,1620,2609
2010,E-8,12210,5925,4042,5208
2010,E-7,40428,21040,9053,26445
2010,E-6,65800,46448,16393,41848
2010,E-5,85788,64279,29414,70172
2010,E-4,142720,50547,36621,49295
2010,E-3,69824,52149,53568,52462
2010,E-2,32911,17390,18923,6225
2010,E-1,14055,10171,11587,9171
